inovasiId,namaInovasi,deskripsi,fotoInovasi,fotoInovasi2,fotoInovasi3,fotoInovasi4
6a097a8ad4c6f7eebc7f7f8a,Agrowisata Belimbing,"Wisata edukasi kebun belimbing di Desa Watesari, Sidoarjo.",https://drive.google.com/file/d/14psh1EW5zV-imoozx9fvMf9bQmy05jLO/view?usp=drive_link,https://drive.google.com/file/d/144rHk5OcxUOtSQ1EOz3CXsXU8fzo5Av9/view?usp=drive_link,,
6a097a8cd4c6f7eebc7f7f8d,BAJRA,Program mandiri berbasis komunitas untuk menanggulangi rabies di tingkat desa.,https://drive.google.com/file/d/1p7VKxubY7exKrHjIT1r865NE__luoHJk/view?usp=drive_link,https://drive.google.com/file/d/1Au-hyIg83BjrcjV8JvqUl6z5r5SCVBlg/view?usp=drive_link,https://drive.google.com/file/d/1CEDAMnuUWzZ5e65q-HQnPZSC8nSSkdqW/view?usp=drive_link,
6a097a8ed4c6f7eebc7f7f90,Telunjuk Sakti,"Layanan kependudukan digital penuh lewat aplikasi Telunjuk Sakti dan loket mandiri di 294 desa, tanpa tatap muka.",https://drive.google.com/file/d/19j66WA-m1-zXItjWJtP-LoSUrc_cgdMV/view?usp=drive_link,https://drive.google.com/file/d/18zzxq23KmoQc2Liirbj3u7UVJsmIcOOv/view?usp=drive_link,https://drive.google.com/file/d/12d_VRxxWVHMDq6d3RpObjBmiRWq2eC7p/view?usp=drive_link,https://drive.google.com/file/d/1B3uo6WOSQOgZ-uG3ZZyl64NYG8Uy3vXQ/view?usp=drive_link
6a097a8fd4c6f7eebc7f7f93,Coffee Wood and Coconut Rope Dog Chew,"Mainan kunyah hewan dari limbah kayu kopi dan sabut kelapa, tembus pasar AS & Eropa, memberdayakan Desa Popongan.",https://drive.google.com/file/d/1mk7Rl38i9aR17UM3PmI8EYVSvJrepS_I/view?usp=drive_link,,,
6a097a91d4c6f7eebc7f7f96,Insana,"Insinerator mikro logam bakar sampah rumah tangga suhu tinggi, dilengkapi ventilasi minimalisir emisi, residu untuk pertanian.",https://drive.google.com/file/d/1icaQWiE5E6NLU3dBEu_Sy16qY2IHKrWy/view?usp=drive_link,,,
6a097a92d4c6f7eebc7f7f99,UPTD Perbibitan Ternak (BIB) Kabupaten Blora,"Pusat produksi semen beku sapi unggul di Blora, satu-satunya di Jateng, sumber PAD daerah.",https://drive.google.com/file/d/1D4kjYgow9tXWj-xuSJLwMp9J0x-UTHq0/view?usp=drive_link,https://drive.google.com/file/d/19G-A9NvnlBUcMSTAN-9wSddPvOqdHrF9/view?usp=drive_link,https://drive.google.com/file/d/10x880-zDMqIgnS4Jx6gpY1VldIW7AtbV/view?usp=drive_link,
6a097a94d4c6f7eebc7f7f9c,Preci-Rice,"Teknologi drone pemetaan kebutuhan nutrisi padi (N,P,K) oleh PT Pupuk Indonesia, meningkatkan efisiensi dan produktivitas.",https://drive.google.com/file/d/1N-xoi8EsRi7mIN1FuqNLOscT1GQm8HSx/view?usp=drive_link,https://drive.google.com/file/d/1ui1Y46Kul80-B7bxnhsougPsTjwPnrR1/view?usp=drive_link,,
6a0983170623d0976a16f34c,Kampung Konversavi Kelor,"Wisata edukasi & pusat olahan kelor organik ekspor di Ngawenombo, Blora; 150 varian produk, atasi stunting.",https://drive.google.com/file/d/1djvOwIBwIQ-D_uMsnwHKdHLxl87M2-MJ/view?usp=drive_link,https://drive.google.com/file/d/1yHvPM9-oIT4Gcj71QTsWUDPan5riWWWK/view?usp=drive_link,https://drive.google.com/file/d/1U0_qxGbEkuxl-rDsoYrzQ12ZXQ9czC7O/view?usp=drive_link,https://drive.google.com/file/d/1JRdZXnopPida1M7DZhG37c9oJswLqv6f/view?usp=drive_link
6a097a97d4c6f7eebc7f7f9f,Rappo,"Olah sampah plastik HDPE & kresek jadi tekstil sintetis kuat, tahan air, estetika kulit/kain premium, jadi produk fashion.",https://drive.google.com/file/d/1J6KaaqoGM4iEHVhGfJUrZXb6sTqwzmKL/view?usp=drive_link,https://drive.google.com/file/d/1UjEplxtAvVpl8vPXOx3lNGAOpyrIsv7Q/view?usp=drive_link,https://drive.google.com/file/d/1TCr9Bb9YQL_jLkcL63qVsL5pQxojLB_j/view?usp=drive_link,https://drive.google.com/file/d/13HfJNKxNCgf_EumherKbeFgQCEvMN81s/view?usp=drive_link
6a097a99d4c6f7eebc7f7fa2,Saudagar Farm,"Peternakan premium di Cianjur (sapi & domba) dikelola sarjana peternakan, prinsip syariah, untuk kurban, akikah, daging.",https://drive.google.com/file/d/1udp2z_q-BnrYEcJrzS9D47D0n-CpOYEN/view?usp=drive_link,https://drive.google.com/file/d/1xiBY2vdbocf9vtIDTjQTbABCjbOdLafo/view?usp=drive_link,,
