userId,nama,kodeProv,namaProv,kodeKota,namaKota,kodeKec,namaKec,kodeDesa,namaDesa,logoDesa,headerDesa,fotoInovasi,fotoInovasi2,deskripsi,potensi,geografis,perkembanganTeknologi,kemampuanTeknologi,sumberDaya,sosialBudaya,kondisiJalan,jaringan,listrik,whatsapp,instagram,website
FxugwAEwxUSTc2Fc16ilNXRBIo02,Kuripan Kidul,33,JAWA TENGAH,3301,KABUPATEN CILACAP,3301140,KESUGIHAN,3301140007,KURIPAN KIDUL,https://drive.google.com/file/d/1cy4MIzNEABWdF_Mysb8kZS1TC4GfRKwN/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Perkebunan, Ekonomi Kreatif",Dataran Rendah,Seluruhnya berkembang dengan baik,Kemampuan masyarakat cukup baik,Lahan Pertanian dan Perkebunan subur untuk tanaman seperti singkong dan bambu serta SDM terampil.,"Kuat akan gotong royong dan masih menjaga budaya lokal seperti alat musik Gamelan, tradisi Rebo Wekasan, dan Kenduren",Kondisi jalan baik dan telah dilakukan perbaikan jalan per januari 2026,Dilengkapi jaringan internet,Dilengkapi dengan listrik yang memadai,"088225347699
",https://www.instagram.com/pemdeskuripankidul/,https://www.kuripan-kesugihan.desa.id/
Qg4kWLblbZfeeu65fv3T2yI7SOp1,Krandengan,33,JAWA TENGAH,3306,KABUPATEN PURWOREJO,3306080,BAYAN,3306080007,KRANDENGAN,https://drive.google.com/file/d/1ijcDr36AEbXe3LeZs2QqjstwyvAhX33f/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Peternakan, dan Penguatan Ekonomi Rakyat melalui UMKM Digital.",Dataran Rendah,Seluruhnya berkembang dengan baik,Kemampuan masyarakat sangat baik,"Pertanian, Peternakan, Penguatan Sumber Daya Ekonomi Rakyat melalui pengembangan UMKM digital",Total populasi sekitar  2.990 jiwa yang terdiri dari 1.466 pria dan 1.524 wanita dengan masih menjaga kelestarian budaya mereka serta mayoritas beragam Islam,Beberapa jalan sudah baik tetapi masih ada perbaikan jalan di beberapa titik,Akses jaringan yang baik,Akses listrik sudah mencapai lebih dari 90% dari jumlah kepala keluarga.,082241499890,https://www.instagram.com/pemdes.krandegan,https://krandegan-bayan.desa.id
1WccNo6JCBPylWvCIVTQ8vqrHkn1,Kukuh,51,BALI,5102,KABUPATEN TABANAN,5102020,KERAMBITAN,,KUKUH,https://drive.google.com/file/d/1jbt7f8P2dkWdgeprnSHReUfWk5nCUDkV/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Ekonomi Kreatif, Peternakan, Kesenian, dan Wisata",Dataran Rendah,Seluruhnya berkembang dengan baik,Kemampuan masyarakat sangat baik,"Pertanian, Peternakan","Total masyarakt 2.505 jiwa yang terdiri 1.264 laki laki dan 1.241 perempuan. Masyarakat beragam dengan mayoritas etnis Bali beragama Hindu, namun ada yang islam, katolik, dan kristen hidup rukun berdampingan",Beraspal penuh,Dilengkapi jaringan internet,Akses Listrik sudah memadai dan tersebar merata dimana 810 keluarga sudah memiliki akses listrik,082340370958,https://www.instagram.com/desakukuhkerambitan/,https://kukuh.desa.id/
lxtvgGUAq1YSTMyPnjyYaPwKY4a2,Kopeng,33,JAWA TENGAH,3374,KOTA SEMARANG,,GETASAN,,KOPENG,https://drive.google.com/file/d/13HTlBH60BbmnAuZodZV5Mw7EPn5ilhIK/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Peternakan, Perkebunan, Pariwisata",Dataran Tinggi,Transisi,Hanya beberapa masyarakat yang cukup baik,Pertanian dan Perkebunan (Sayuran Organik dan Tanaman Hias),Kaya akan budaya leluhur dan menerapkan nilai gotong royong,Kondisi jalan baik dan beberapa sudah berbeton,Jaringan internet tidak memadai karena ditunjukkan dari data skor IDM menunjukkan angka 1,Akses Listrik memadai berdasarkan skor data IDM yang menunjukkan angka 5 (baik) ,000000000000,https://www.instagram.com/kopeng_kopeng,https://pemdeskopeng.id/
sepxnQW4U0gLuTlZp7p33adP7qR2,Duda Timur,51,BALI,5107,KABUPATEN KARANGASEM,5107070,SELAT,5107070003,DUDA TIMUR,https://drive.google.com/file/d/1Qoi9yO5kzr49gC-w1iSLuaQUZaaATJzD/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Perkebunan, Pariwisata",Dataran Tinggi,Seluruhnya berkembang dengan baik,Kemampuan Masyarakat sangat baik,"Pertanian dan Perkebunan (Salak, Kayu, Rempah-rempah)",Mayoritas beragama hindu dan kental dengan budaya lokal,Rentan terkena longsor,Dilengkapi jaringan internet,Akses listrik memadai,"082117177772
",https://www.instagram.com/duda.timur/,https://dudatimur.smartdesa.or.id/index.php/id/
tXDxJcfgfbWGgUixj6FX7vv0iIo1,Wates,35,JAWA TIMUR,3505,KABUPATEN BLITAR,3505040,WATES,3505040004,WATES,https://drive.google.com/file/d/1Tl2LBYph2DIA71CiOS8szcFEZ1-WAiGK/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Peternakan, Pariwisata",Dataran Tinggi,Seluruhnya berkembang dengan baik,Kemampuan masyarakat cukup baik,"Pertanian (padi, palawija, cabai, dan buah), Perikanan, dan Peternakan.",Masih menjunjung tinggi nilai adat dan tradisi gotong royong,Kondisi jalan baik tetapi ada kerusakan pada akses jembatan,Dilengkapi jaringan internet,Akses listrik memadai tetapi belum merata,085235139823,https://www.instagram.com/watesberkelas,https://wates-blitarkab.desa.id/profil/
KjtkHyEvomd0FW2hMiZhFg0B6XR2,Banggae,73,SULAWESI SELATAN,7305,KABUPATEN TAKALAR,7305010,MANGARA BOMBANG,7305010010,BANGGAE,https://drive.google.com/file/d/1wFklIBKhantNBuVrb-aCyhjO2Nu_6peM/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Pariwisata, Ekonomi Kreatif, Perikanan",Dataran Rendah,Seluruhnya berkembang dengan baik,Kemampuan masyarakat cukup baik,Pertanian Cabai dan Perikanan,Terdiri dari 4.281 masyrakat yang mayoritas beragam Islam serta menjunjung nilai gotong royong serta nilai adat dan spiritual,Kondisi jalan baik dengan permukaan jalan beraspal atau beton ,Dilengkapi jaringan internet baik akses internet bagi warga dan akses internet yang ada di kantor desa,Akses Listrik baik dan memadai yang ditandai dengan skor IDM mencapai 5,089654993430,https://www.instagram.com/banggaedesa,https://banggae.desa.id
Si1h7XS8rER5c19gtLoKe74bpka2,Kendalbulur,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,3504110,BOYOLANGU,3504110002,KENDALBULUR,https://drive.google.com/file/d/1ZHQlwGWUX6rH7Hc6qLTiDJOl3_cbTw1l/view?usp=drive_link,,,,Sudah ada inovasi,"Pertanian, Perikanan, dan Pariwisata",Dataran Rendah,Transisi,Kemampuan masyarakat masih terbatas,Lahan pertanian yang subur dan luas serta dilengkapi beberapa tempat di desa sebagai pariwisata,"Masih menjaga nilai adat budaya seperti memperingati hari kamis menggunakan bahasa jawa, melakukan slameta, bergotong royong dan bermusyawarah",Kondisi jalan baik dengan permukaan jalan beraspal atau beton ,Akses jaringan cukup baik dan relatif stabil,Akses listrik baik dan sudah tersebar merata,082232647069,https://www.instagram.com/pemdes.kendalbulur,https://kendalbulur.id/
YUSute8Z0JfrzUEYgGxaaJ89JID3,Kaliwedi,33,JAWA TENGAH,3314,SRAGEN,3314060,GONDANG,3314060005,KALIWEDI,,,,,Sudah ada inovasi,"Wisata Air (Waterboom), Pertanian Padi, Industri Rumah Tangga (Makanan Olahan), dan Peternakan.",Dataran Rendah,Transisi,Kemampuan masyarakat cukup baik,"Lahan sawah yang subur, kreatifitas Smber Daya Manusia (SDM), lokasi strategis di jalur penghubung antar wilayah, dan dukungan BUMDes yang kuat.","Masyarakat Jawa yang kental dengan budaya gotong royong, menjunjung tinggi nilai religius, dan sangat inovatif dalam mengubah potensi desa menjadi sumber pendapatan mandiri.",Kondisi jalan di banyak titik sudah mulai beraspal,Dilengkapi jaringan internet yang baik,Akses listrik baik dan sudah tersebar merata,000000000000,,
IeOT8Ay5x4Y0u9jgImmATVIjKoy2,Sidomulyo,18,LAMPUNG,1803,KABUPATEN LAMPUNG SELATAN,1803100,SIDOMULYO,1803100020,SIDOMULYO,https://drive.google.com/file/d/1y9uhqsWEYexEXygE1VVjlIgWwz_RA1Ms/view?usp=drive_link,,,,Sudah ada inovasi,Perkebunan dan Pertanian,Dataran Rendah,Seluruhnya berkembang dengan baik,Kemampuan masyarakat cukup baik,"Pertanian (padi, jagung, ubi kayu)",Masih menjunjung tinggi nilai adat dan tradisi gotong royong,Kondisi jalan baik dengan permukaan jalan beraspal atau beton ,Dilengkapi jaringan internet baik akses internet warga dan kantor desa menyentuk skor IDM 5,Akses Listrik baik dan memadai ,000000000000,https://www.instagram.com/desasidomulyolampungselatan/,https://www.sidomulyo-lampungselatan.desa.id/
