userId,nama,deskripsi,kategori,whatsapp,instagram,website,logoInnovator,headerInnovator
amE4BCvSEheMnVeraQO3T22r6mj1,Sukisno (Kepala Desa Watesari),Pencetus transformasi Desa Watesari menjadi destinasi Wisata Kebun Kurma yang memberdayakan ekonomi lokal.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,"Layanan Finansial,"
hrAd3Q5vXzZ9zkGCi5Uq9lrCHuJ2,Haji Aliman,Tokoh masyarakat yang menginisiasi teknik pertanian spesifik dan kemandirian usaha kerakyatan di wilayah Sidoarjo.,Agribisnis,00-00-0000000,,,,,,,,,,,,,"Lembaga Swadaya Masyarakat (LSM),"
NBBNYvjKXnTWumpDwJdmmTA1NJO2,BUMDes Bina Sejahtera,Unit usaha desa yang menjadi motor penggerak ekonomi mikro melalui pengelolaan unit usaha kreatif dan distribusi sarana produksi.,Dibawah Pemerintah,00-00-0000000,,,,,,,,,,,,,"Organisasi Pertanian,"
zGvUiZCUQvdE1FWCyx67w21py2p1,Pemerintah Kabupaten Sidoarjo,Lembaga daerah yang konsisten memfasilitasi ekosistem inovasi pelayanan publik dan pengembangan ekonomi kreatif desa.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,"Pemerintah Daerah,"
iSXcpsr8mFModrxYsOYlgIYxj7u2,Ida Bagus Surya Prabhawa Manuaba (Perbekel Desa Darmasaba),Pemimpin Desa Darmasaba yang progresif dalam mengintegrasikan tata kelola digital dengan program kesehatan lingkungan.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,"Perusahaan,"
T3gImVitz0dTPcZOyX42XInnLPn2,Pemerintah Desa Darmasaba,Institusi desa percontohan yang sukses mengelola sanitasi dan program pencegahan penyakit berbasis partisipasi masyarakat.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,"Start Up,"
Z3yW5WSADBMK1o62KMZvY3Hhjl02,Komunitas Darmasaba Jauhi Rabies,Kelompok swadaya yang fokus pada pengendalian rabies melalui vaksinasi massal dan edukasi kepemilikan hewan yang bertanggung jawab.,Lembaga Swadaya Masyarakat (LSM),00-00-0000000,,,,,,,,,,,,,"UMKM,"
BpFFaQ1i33NUIVAh7KpJW5EilW73,Drs. Sungkono (Pimpinan Disdukcapil Kabupaten Wonogiri),"Pimpinan Disdukcapil Wonogiri yang merevolusi layanan administrasi kependudukan melalui program ""Aksi Bolone Dewe"".",Dibawah Pemerintah,00-00-0000000,,,,,,,,,,,,,Agribisnis
oLi9UNrn4wSOmAdgWZPa0VzeFdq1,Dewi Ekha Harlasyanti,Inovator yang fokus pada pengembangan produk turunan pertanian bernilai tambah tinggi melalui hilirisasi riset ke produk komersial.,Agribisnis,00-00-0000000,,,,,,,,,,,,,
X5AkqHzZ92cKfEXeuqzsh88HyTG3,Suko Siswanto (Ketua BPD Meteseh),Pemimpin badan permusyawaratan yang aktif mendorong transparansi dan regulasi untuk mendukung inovasi di Desa Meteseh.,Pemerintah Daerah,00-00-0000000,,,,,,,,,,,,,
